station_id,rainfall_mm,lat,long,country,county,country_avg,county_avg,country_code
8850,0.0,55.255608,-2.540374,England,Northumberland,0.07,0,1
13045,0.0,54.742208,-2.378185,England,Westmorland and Furness,0.07,0.16,1
E14930,0.0,50.623497,-1.307947,England,Isle of Wight,0.07,0.01,1
1748,0.0,52.481743,-2.579368,England,Shropshire,0.07,0.16,1
35302,0.0,54.517093,-0.752561,England,North Yorkshire,0.07,0.06,1
E11120,0.0,50.78281,-0.694221,England,West Sussex,0.07,0.04,1
1387,0.0,52.424304,-3.172736,England,Shropshire,0.07,0.16,1
77952,0.0,53.772138,-1.90361,England,Calderdale,0.07,0.13,1
3998,0.0,53.396184,-0.931457,England,Nottinghamshire,0.07,0,1
E24894,,51.890899,1.212487,England,Essex,0.07,0,1
554472,0.0,53.169907,-2.103919,England,Staffordshire,0.07,0.14,1
26297,0.0,54.701508,-1.198486,England,Hartlepool,0.07,0,1
591878,0.0,54.529816,-3.545999,England,Cumberland,0.07,0.07,1
1812,0.0,51.89986,-2.41343,England,Gloucestershire,0.07,0.1,1
552376,0.0,52.965913,-2.459268,England,Cheshire East,0.07,0.14,1
77800,0.0,53.636457,-2.005248,England,Calderdale,0.07,0.13,1
13336,0.0,54.774946,-2.516845,England,Westmorland and Furness,0.07,0.16,1
47113,0.0,50.418385,-3.960029,England,Devon,0.07,0.14,1
45108,,50.884946,-3.487642,England,Devon,0.07,0.14,1
E6270,0.0,51.032353,0.577858,England,Kent,0.07,0.01,1
3610,0.0,52.655516,-1.302927,England,Leicestershire,0.07,0,1
E11060,0.0,50.853543,-0.666675,England,West Sussex,0.07,0.04,1
E24763,0.0,51.949875,-0.766824,England,Buckinghamshire,0.07,0.07,1
583948,0.0,54.064769,-2.863989,England,Lancashire,0.07,0.08,1
47168,0.0,50.660116,-4.359193,England,Cornwall,0.07,0.08,1
47158,,50.771514,-4.228634,England,Devon,0.07,0.14,1
51125,0.0,51.193548,-3.612054,England,Somerset,0.07,0.05,1
E7780,0.0,50.80213,0.081187,England,East Sussex,0.07,0,1
43104,0.0,51.220377,-1.669896,England,Wiltshire,0.07,0.04,1
248332TP,0.0,51.672207,-1.952948,England,Gloucestershire,0.07,0.1,1
3816,0.0,53.130665,-1.23847,England,Nottinghamshire,0.07,0,1
31555,0.0,54.469846,-1.099639,England,North Yorkshire,0.07,0.06,1
E1320,0.0,51.202399,0.077705,England,Kent,0.07,0.01,1
46100,0.0,50.390977,-3.70144,England,Devon,0.07,0.14,1
3686,0.0,52.544833,-1.031877,England,Leicestershire,0.07,0,1
553564,,53.113166,-2.501173,England,Cheshire East,0.07,0.14,1
553564,0.0,53.113166,-2.501173,England,Cheshire East,0.07,0.14,1
45164,0.0,50.614674,-3.380154,England,Devon,0.07,0.14,1
53159,0.0,51.366659,-2.621201,England,Bath and North East Somerset,0.07,0.05,1
57426,0.0,54.18467,-1.901124,England,North Yorkshire,0.07,0.06,1
E2493,0.0,52.814,0.01276,England,Lincolnshire,0.07,0,1
239374TP,0.0,51.575345,0.041271,England,London Borough of Redbridge,0.07,0,1
3099,0.0,52.807639,-1.889433,England,Staffordshire,0.07,0.14,1
77836,0.0,53.657107,-1.925056,England,Calderdale,0.07,0.13,1
78530,0.0,53.592394,-1.929702,England,Kirklees,0.07,0.03,1
600683,0.0,54.592579,-2.950962,England,Westmorland and Furness,0.07,0.16,1
E11480,0.0,51.253545,-1.255547,England,Hampshire,0.07,0.07,1
74924,0.0,53.829697,-1.976406,England,Bradford,0.07,0.1,1
E11470,0.0,50.852298,-0.990615,England,Hampshire,0.07,0.07,1
8,0.0,53.480556,-1.441674,England,Rotherham,0.07,0,1
E21018,0.0,51.587908,0.506691,England,Essex,0.07,0,1
48180,0.0,50.382625,-4.896844,England,Cornwall,0.07,0.08,1
570099,0.0,53.511139,-2.721493,England,St Helens,0.07,0.2,1
E5640,0.0,51.05909,0.821971,England,Kent,0.07,0.01,1
E24863,0.0,51.857943,0.698866,England,Essex,0.07,0,1
254829TP,0.0,51.938474,-1.573015,England,Oxfordshire,0.07,0.07,1
3580,,53.047163,-1.641206,England,Derbyshire,0.07,0.07,1
E27594,0.0,52.735167,-0.4219,England,Lincolnshire,0.07,0,1
50112,0.0,51.219415,-3.751859,England,Devon,0.07,0.14,1
564595,0.0,53.240041,-2.077118,England,Cheshire East,0.07,0.14,1
49902,0.0,54.130296,-1.656404,England,North Yorkshire,0.07,0.06,1
E1290,0.0,51.236919,-0.046806,England,Surrey,0.07,0,1
3570,0.0,53.029694,-1.914215,England,Staffordshire,0.07,0.14,1
1792,0.0,52.307409,-2.728158,England,Herefordshire,0.07,0.07,1
8632,,55.047076,-1.446712,England,North Tyneside,0.07,0,1
E14893,0.0,50.754772,-1.304596,England,Isle of Wight,0.07,0.01,1
E4510,0.0,51.105558,0.979102,England,Kent,0.07,0.01,1
E4520,0.0,51.225958,0.726173,England,Kent,0.07,0.01,1
5782,0.0,55.154354,-1.944254,England,Northumberland,0.07,0,1
E41311,0.0,51.520749,0.616886,England,Essex,0.07,0,1
E2331,0.0,52.473204,-0.862668,England,North Northamptonshire,0.07,0,1
920359,0.0,55.553328,-1.997587,England,Northumberland,0.07,0,1
1119,0.0,52.031946,-2.435056,England,Herefordshire,0.07,0.07,1
30377,0.0,54.526112,-1.506309,England,Darlington,0.07,0,1
E27601,0.0,51.530977,0.519422,England,Essex,0.07,0,1
3179,0.0,52.69041,-0.920654,England,Leicestershire,0.07,0,1
49151,0.0,50.480775,-4.463019,England,Cornwall,0.07,0.08,1
238777TP,0.0,51.736595,0.223782,England,Essex,0.07,0,1
83534,0.0,53.250698,-1.498624,England,Derbyshire,0.07,0.07,1
3996,0.0,52.897989,-0.911045,England,Nottinghamshire,0.07,0,1
47157,0.0,50.431628,-4.270363,England,Cornwall,0.07,0.08,1
559586,0.0,53.534889,-2.012778,England,Oldham,0.07,0.07,1
E25041,0.0,52.786909,-0.264322,England,Lincolnshire,0.07,0,1
37973,0.0,54.297778,-1.167931,England,North Yorkshire,0.07,0.06,1
E9360,0.0,50.929113,-0.384184,England,West Sussex,0.07,0.04,1
E9350,0.0,50.999283,-0.143741,England,West Sussex,0.07,0.04,1
248965TP,0.0,51.792696,-2.00792,England,Gloucestershire,0.07,0.1,1
3860,0.0,53.407215,-1.191422,England,Rotherham,0.07,0,1
32,,54.505434,-0.84558,England,Redcar and Cleveland,0.07,0,1
587552,,54.313112,-2.946042,England,Westmorland and Furness,0.07,0.16,1
587552,0.0,54.313112,-2.946042,England,Westmorland and Furness,0.07,0.16,1
E7135,0.0,53.572235,-0.236854,England,Lincolnshire,0.07,0,1
E2420,0.0,51.130083,0.749109,England,Kent,0.07,0.01,1
E11820,0.0,50.828711,-1.195588,England,Hampshire,0.07,0.07,1
62046,0.0,54.071438,-1.913617,England,North Yorkshire,0.07,0.06,1
44215,0.0,50.743404,-2.638425,England,Dorset,0.07,0.17,1
E24925,0.0,51.644031,0.489549,England,Essex,0.07,0,1
3057,0.0,52.730505,-1.571247,England,Derbyshire,0.07,0.07,1
E23633,0.0,51.996269,-0.242627,England,Hertfordshire,0.07,0,1
1413,0.0,52.325619,-2.226643,England,Worcestershire,0.07,0.14,1
559100R,,53.45937,-1.93444,England,Derbyshire,0.07,0.07,1
559100R,,53.45937,-1.93444,England,Derbyshire,0.07,0.07,1
531172,0.0,51.277706,-2.608531,England,Somerset,0.07,0.05,1
E2416,0.0,52.808243,-0.129942,England,Lincolnshire,0.07,0,1
E24957,0.06,52.101218,0.906298,England,Suffolk,0.07,0,1
E24947,0.0,52.165978,0.556609,England,Suffolk,0.07,0,1
261602TP,,51.772802,-0.689041,England,Buckinghamshire,0.07,0.07,1
261602TP,0.0,51.772802,-0.689041,England,Buckinghamshire,0.07,0.07,1
E24790,0.0,52.409069,1.30592,England,Norfolk,0.07,0,1
E7165,0.0,52.766451,-0.623828,England,Lincolnshire,0.07,0,1
53115,0.0,51.210084,-2.450167,England,Somerset,0.07,0.05,1
E9290,0.0,51.04624,-0.400084,England,West Sussex,0.07,0.04,1
48182,0.0,50.249425,-5.040268,England,Cornwall,0.07,0.08,1
570231,0.0,53.596101,-2.789423,England,Lancashire,0.07,0.08,1
1082,0.0,52.186855,-1.418519,England,Warwickshire,0.07,0.13,1
1121,0.0,52.718322,-2.717219,England,Shropshire,0.07,0.16,1
261021TP,0.0,51.653876,-1.288038,England,Oxfordshire,0.07,0.07,1
1770,0.0,52.288216,-1.222206,England,West Northamptonshire,0.07,0.02,1
602253,0.0,54.779014,-2.608625,England,Westmorland and Furness,0.07,0.16,1
288504TP,0.0,51.349274,0.009666,England,London Borough of Bromley,0.07,0,1
269627TP,0.0,51.345161,-1.239706,England,Hampshire,0.07,0.07,1
596791,0.0,54.843273,-3.064299,England,Cumberland,0.07,0.07,1
259110TP,0.0,51.886777,-1.156503,England,Oxfordshire,0.07,0.07,1
E15500,0.0,51.435174,0.135731,England,London Borough of Bexley,0.07,0,1
564160,0.0,53.381621,-2.570469,England,Warrington,0.07,0.05,1
1760,0.0,52.140634,-1.974376,England,Worcestershire,0.07,0.14,1
E7420,0.0,50.788104,0.060701,England,East Sussex,0.07,0,1
569848,0.0,53.58714,-2.633659,England,Wigan,0.07,0.13,1
E5451,0.0,51.007531,0.978517,England,Kent,0.07,0.01,1
E13980,0.0,51.218761,-1.473747,England,Hampshire,0.07,0.07,1
3232,0.0,55.312483,-1.909373,England,Northumberland,0.07,0,1
2321SO,0.0,50.83729,-0.377415,England,West Sussex,0.07,0.04,1
3185,0.0,52.407451,-1.784594,England,Metropolitan Borough of Solihull,0.07,0,1
E2510,0.0,52.535424,-0.981957,England,Leicestershire,0.07,0,1
23839,0.0,54.829815,-1.807716,England,County Durham,0.07,0.05,1
3774,0.0,53.579885,-0.869434,England,North Lincolnshire,0.07,0,1
E23535,,51.747187,0.62561,England,Essex,0.07,0,1
239258TP,0.0,51.664377,0.040933,England,Essex,0.07,0,1
E12821,0.0,51.085476,-1.13689,England,Hampshire,0.07,0.07,1
490001TP,0.0,51.903913,0.021245,England,Hertfordshire,0.07,0,1
593893,0.0,54.703741,-3.274806,England,Cumberland,0.07,0.07,1
E14900,0.0,50.677559,-1.505295,England,Isle of Wight,0.07,0.01,1
43206,0.0,50.755798,-1.814938,England,"Bournemouth, Christchurch and Poole",0.07,0.4,1
19356,,54.999168,-1.605255,England,Newcastle upon Tyne,0.07,0,1
E22283,0.0,52.402761,0.279187,England,Cambridgeshire,0.07,0,1
26644,0.0,54.656189,-2.285935,England,County Durham,0.07,0.05,1
3778,0.0,52.687955,-1.796533,England,Staffordshire,0.07,0.14,1
E24884,0.0,51.683977,0.715993,England,Essex,0.07,0,1
1793,0.0,52.518531,-2.881966,England,Shropshire,0.07,0.16,1
53110,0.0,51.341928,-2.266258,England,Wiltshire,0.07,0.04,1
53100,0.0,51.633453,-2.15382,England,Gloucestershire,0.07,0.1,1
E24703,0.03,52.023252,-1.13062,England,Buckinghamshire,0.07,0.07,1
15347,0.0,54.804602,-2.221644,England,Northumberland,0.07,0,1
36225,0.0,54.344552,-0.754715,England,North Yorkshire,0.07,0.06,1
52148,0.0,50.853381,-2.745053,England,Dorset,0.07,0.17,1
571479,0.0,54.217501,-2.3335,England,North Yorkshire,0.07,0.06,1
52203,0.0,51.408672,-2.666341,England,North Somerset,0.07,0,1
531101,0.0,51.633863,-2.371995,England,Gloucestershire,0.07,0.1,1
1602,0.0,52.05292,-2.737138,England,Herefordshire,0.07,0.07,1
E25033,0.0,53.449299,0.032134,England,Lincolnshire,0.07,0,1
8062,0.0,55.132825,-1.538065,England,Northumberland,0.07,0,1
47155,0.0,50.416367,-4.126049,England,England,0.07,0,1
E37241,0.0,51.94816,0.481622,England,Essex,0.07,0,1
E37051,0.0,51.732496,0.516133,England,Essex,0.07,0,1
249744TP,0.0,51.568666,-1.811661,England,Swindon,0.07,0,1
E43041,,51.59932,0.300821,England,Essex,0.07,0,1
53114,0.0,51.230621,-2.486172,England,Somerset,0.07,0.05,1
033108NE,0.0,54.543358,-1.201588,England,Middlesbrough,0.07,0,1
53104,0.0,51.538159,-2.480793,England,South Gloucestershire,0.07,0.07,1
E13261,0.0,50.788809,-1.033124,England,England,0.07,0,1
50199,0.0,50.873373,-3.798545,England,Devon,0.07,0.14,1
47159,0.0,50.644847,-4.529589,England,Cornwall,0.07,0.08,1
36487,0.0,54.408361,-0.754323,England,North Yorkshire,0.07,0.06,1
E24913,0.0,51.815014,0.765948,England,Essex,0.07,0,1
E11080,0.0,50.828064,-0.805132,England,West Sussex,0.07,0.04,1
592860,0.0,54.56648,-3.063261,England,Cumberland,0.07,0.07,1
586056,0.0,54.262864,-2.811323,England,Westmorland and Furness,0.07,0.16,1
3688,0.0,52.6315,-1.077247,England,City of Leicester,0.07,0,1
53109,0.0,51.360132,-2.138539,England,Wiltshire,0.07,0.04,1
E21234,0.0,52.633846,1.556421,England,Norfolk,0.07,0,1
E24506,0.0,52.898685,0.4791,England,Norfolk,0.07,0,1
266474TP,,51.412945,-1.726028,England,Wiltshire,0.07,0.04,1
48170,0.0,50.131262,-5.251088,England,Cornwall,0.07,0.08,1
E37151,0.0,51.904776,0.848521,England,Essex,0.07,0,1
28185,0.0,54.560368,-1.983723,England,County Durham,0.07,0.05,1
46106,0.0,50.548234,-3.940001,England,Devon,0.07,0.14,1
246424TP,0.0,51.501145,-0.205547,England,Royal Borough of Kensington and Chelsea,0.07,0,1
44101,0.0,50.800366,-2.738533,England,Dorset,0.07,0.17,1
3066,0.0,55.350136,-2.171067,England,Northumberland,0.07,0,1
1687,0.0,52.016552,-2.653481,England,Herefordshire,0.07,0.07,1
43204,0.0,50.864669,-2.139905,England,Dorset,0.07,0.17,1
3766,0.0,53.005795,-1.251101,England,Nottinghamshire,0.07,0,1
3576,0.0,53.093957,-1.658736,England,Derbyshire,0.07,0.07,1
E5670,0.0,50.943595,0.945951,England,Kent,0.07,0.01,1
281186TP,0.0,51.119894,-0.851916,England,Hampshire,0.07,0.07,1
E5660,0.0,51.083056,0.871982,England,Kent,0.07,0.01,1
577805,,53.979672,-2.679249,England,Lancashire,0.07,0.08,1
581159,0.0,54.31472,-2.538727,England,Westmorland and Furness,0.07,0.16,1
1335,0.0,52.863499,-3.123644,England,Shropshire,0.07,0.16,1
251556TP,0.0,51.826782,-1.862825,England,Gloucestershire,0.07,0.1,1
41238,0.0,53.867134,-0.367439,England,East Riding of Yorkshire,0.07,0,1
E22205,0.0,52.121748,-0.215784,England,Central Bedfordshire,0.07,0,1
60947,0.0,54.218703,-2.195488,England,North Yorkshire,0.07,0.06,1
50106,0.0,50.737466,-3.91805,England,Devon,0.07,0.14,1
E160,0.0,51.384733,0.626364,England,Medway,0.07,0,1
